,sigma1_crev_clean,sigma2_crev_clean
63,102996.74533488511,-73895.77272263318
64,119307.53053832978,-52187.542269884856
65,132865.31856159662,-32197.47560923088
66,145255.01432561153,-12816.15403234544
67,157801.30209809,7178.7962432528875
68,170591.77511872657,27209.726323878363
69,183429.12394837438,46156.14861829809
70,-72977.91734258897,-220370.8099074875
71,-77181.33473038851,-221967.83808003695
72,-71885.18081810266,-219584.37258247536
73,-57862.372835730814,-213146.90820000335
74,-35989.751521896105,-201882.69815786328
75,-9418.942116678081,-186253.21880150115
76,18088.70142072199,-167282.46211914025
77,43129.343880443135,-146869.35133248311
78,64939.39055593086,-125992.18143092985
79,84085.78644877076,-104863.76642283509
80,100605.372602127,-84201.50617825243
81,115899.53188444512,-63182.812895788564
82,131631.4799514076,-40345.12859460182
83,148490.62736935273,-14740.302578985415
84,165614.68941533842,12193.441147291596
85,181587.17885166866,37398.55772678804
86,196239.90022586915,59781.79844761036
87,208394.86827877205,77282.84844687837
88,218011.96656798632,90603.25660997929
89,225201.6345611413,100413.98535747397
90,87854.2367529081,-127417.53350119333
91,-80357.56891045535,-231332.349443309
92,-73539.50698615049,-229255.4889739485
93,-58661.546802984536,-223275.52112168068
94,-37620.075657365305,-213211.3119859068
95,-13652.43609743689,-199691.91152876045
96,10624.366631588011,-183351.40348533803
97,31625.816851001917,-166516.26580571977
98,49718.28251779208,-149362.57480029378
99,65908.31488833607,-131668.88797624764
100,80670.13926859135,-113570.60753716815
101,95752.99339870182,-93878.3918902932
102,113180.90647825948,-70720.3628531511
103,134473.31525632954,-41328.107487622765
104,156918.51328783826,-8332.184345064932
105,177657.60838093175,24143.877770550986
106,194800.55787069368,51670.06797242815
107,208770.02369406912,73890.95147468998
108,219139.05176223948,90237.23929591471
109,226350.67633826588,101995.74743898924
110,230423.83228105213,109496.01348870342
111,231330.9456046227,113188.24344353039
112,229344.9858740407,113913.8559910422
113,224568.47740408604,111922.08045478392
114,125053.01468363883,-97005.71164727867
115,78004.16505386164,-138807.2967267497
116,-71766.786817407,-235560.4589172511
117,-56552.75448292648,-230193.8364986433
118,-36524.6381810172,-221228.04133513372
119,-14631.83799097674,-209262.73152783263
120,5720.093756170201,-195819.0881043828
121,22793.841354982986,-182087.87905071457
122,37050.24793204655,-168240.6252315672
123,49750.450039324154,-153823.50731241587
124,61824.381359843086,-138562.85744339775
125,75050.68817348531,-121514.07714034655
126,93213.30767038009,-98892.66757523648
127,116918.33057967597,-69338.45312491874
128,144368.37702666,-32730.324311126744
129,170085.19917511038,5094.677848232968
130,191608.63868550188,39592.29918516941
131,207420.16276425443,66056.64258656726
132,218772.91095558272,85838.25066578915
133,226249.30087483022,99973.2439001376
134,230249.29455147212,109232.84553343564
135,230888.66430987936,114206.65618922596
136,228483.30661576145,115852.71020868342
137,223268.49900985585,114646.51798807242
138,215438.85989084508,110823.38198979665
139,205264.357926852,104650.35538582302
140,192388.8166310746,95642.83705281006
141,73472.6890557651,-143603.04660977935
142,-66414.15657891058,-237954.4298914803
143,-51324.592444432,-233310.00626803745
144,-32730.28271695935,-225597.8603504363
145,-13641.588503260922,-215625.9660806714
146,3072.034689698412,-204760.61010137456
147,16236.636801148794,-194004.52952700094
148,26637.628823370105,-183227.33422621532
149,35781.91440226756,-171820.59327524336
150,44589.71247042553,-159523.85074344557
151,55607.12324202852,-144815.2486919578
152,72365.54124275639,-124905.21664990197
153,96470.73954034297,-97498.10044457918
154,128020.50158228028,-59604.665824972835
155,159612.10514900164,-17037.0740230143
156,185402.1535868066,22420.212827286407
157,203775.5244817878,53417.11110384826
158,216764.76508453104,77413.7124466718
159,224727.49133525684,94131.70600290499
160,228915.22816767736,105658.78213427018
161,229503.89629829087,112542.40332141035
162,226826.34087721136,115433.3096750257
163,221219.63579911066,115238.90349417113
164,212887.41942002764,112297.11957492807
165,201981.91423042485,106781.26842425799
166,73002.80679931276,-142755.5345966628
167,-56779.479866477865,-235657.3296506738
168,-42371.65318972408,-231885.3331590303
169,-25638.113069799758,-225668.844854754
170,-9876.967495028657,-217968.77874538358
171,3011.0120090572455,-209873.71052960758
172,18608.125967796732,-194434.4018886002
173,23985.489631488963,-186067.05100051087
174,29449.89977451881,-176629.71920725604
175,108698.45779379617,-87216.8590423782
176,144712.293307785,-43448.92207919641
177,175655.23767351074,320.84874058974674
178,197972.40560785454,36724.34820568742
179,212797.23773552442,64434.36573328484
180,221946.640247527,84700.60749110323
181,226546.06489363208,98752.52923013101
182,227178.72809138923,107510.07518783206
183,224398.63266704138,112076.74520492925
184,218546.39236417162,113283.47811806056
185,209921.58611693865,111520.34315611646
186,198375.19164461305,107047.39253494017
187,-28699.431028028324,-225195.5483809656
188,-14780.56454226606,-220877.44297749363
189,-2743.6304494655924,-215786.05244289077
190,5643.063750781395,-210924.51449819695
191,10344.998620306942,-206555.89986456052
192,12741.266568068168,-202085.06986924488
193,14239.922748300887,-196885.06968117063
194,16382.4302497858,-190401.71368440715
195,21667.082115385623,-181127.9964066943
196,88035.47614820348,-113664.38314659908
197,126333.58066899746,-71829.91678828164
198,161838.08638742048,-26379.275843592593
199,188503.50111169257,14068.206870177164
200,206306.06142296075,46095.23217798199
201,217215.8280044083,70094.39051818938
202,222794.75744937005,87274.26059029384
203,223907.09774903458,98620.61083612248
204,221314.4893626375,105136.85075507541
205,215341.00847918313,108172.3773924792
206,206309.8287555573,107869.2593064137
207,194510.79313279508,104815.86675402803
208,180072.6852424075,98893.35992629302
209,-11427.282780704983,-119869.81371245583
210,32454.41946345437,-97347.39196491444
211,141465.52432112917,-66298.586118031
212,-29680.67607653189,-212479.0618567629
213,-20742.51423762171,-213277.54220372447
214,-9836.632822942396,-212375.44813215354
215,310.7521468451596,-210654.18773648987
216,7657.375719854943,-208844.92184873926
217,11069.88039044739,-207766.80402206088
218,11154.164260634774,-207040.79291184648
219,7016.990430256425,-204081.6573918336
220,38599.3887383252,-164124.68285809766
221,68308.98448941958,-137209.29177355484
222,106847.6117153744,-98998.5344713337
223,144229.67706160093,-55951.88753319489
224,175471.25760923978,-12895.811265854412
225,196779.52315409304,22559.289034399757
226,210199.07260995364,50326.62209719785
227,217403.47575970797,70988.9776744541
228,219487.75194098454,85354.3083330694
229,217409.34884862872,94556.40953418074
230,211678.58953423996,99543.0893854286
231,202638.4200155104,101025.83716605067
232,190884.4178821228,99610.99634667288
233,176055.6934717218,95307.51013020249
234,-72272.05839091857,-127493.33907361224
235,-64772.08014371538,-130910.71529552469
236,-45764.67925972064,-130027.7073897456
237,-15322.824562843554,-122168.63821064886
238,23453.436456442214,-104677.62311184926
239,62325.824281462774,-80171.5953444389
240,95930.84115567998,-53529.924200566515
241,123191.50501313467,-27524.60443366789
242,143963.67917051958,-5054.542601082547
243,159440.80047702423,13854.185706576667
244,5527.475467298718,-175046.82881592528
245,-650.19188162309,-183261.4891209923
246,2180.400737570846,-187410.18309494748
247,8713.991197451018,-190086.67300519906
248,15657.531203761086,-191944.2718500894
249,20664.360316399296,-193881.83625810774
250,22396.34363597349,-196352.34111683507
251,20337.567810231834,-199556.29919314123
252,15440.26790433946,-202975.85865273286
253,26129.534093815615,-177892.01658627501
254,53662.68001010697,-154631.9899130671
255,89392.98962488024,-121974.50815772566
256,127173.01005479204,-82191.94333855875
257,160009.68103676374,-41117.12983543384
258,184463.7564708118,-4133.235276771666
