,sigma1_nocrev_clean,sigma2_nocrev_clean
137,185902.18270035824,65551.18787963953
138,179444.78830175268,59043.25796343666
139,59027.46954502064,-156424.03664495613
140,37429.63269854148,-174696.07318859044
141,154394.21660742376,30502.054333056498
142,137451.90505844157,24502.00935084572
143,115534.83297175412,8967.913420182958
144,84638.06864739061,-22502.27998619143
145,43154.50637427486,-64263.50241112008
146,14555.524761844907,-89762.56256684322
147,7071.136071090099,-99498.90220834612
148,15712.80378530307,-99208.05148898471
149,35904.256354861165,-90939.98802592527
150,179551.99911119248,57039.603812934736
151,171242.75766325355,50361.4682861786
152,58991.81402223322,-152028.11719357106
153,35049.79440049296,-172865.2581131059
154,140685.41113500568,-2736.7138741727977
155,122910.54487278241,-9901.594699690628
156,98960.33779650234,-26047.238111002916
157,68125.86308751951,-51467.57804866593
158,37094.22301510098,-77434.84490669027
159,22035.408721542888,-91213.60007298616
160,24728.940970864554,-93656.16598528452
161,40803.59433011415,-86933.22092429046
162,64132.591024574074,-73800.3871242523
163,156526.03568590144,39154.77082878221
164,121448.51008715913,-39563.07822127121
165,102181.14108438088,-47694.99937861611
166,77642.90582197047,-61624.55343939447
167,51691.249214431795,-77837.37262830471
168,31604.997949046825,-90900.94169893565
169,28032.739811623636,-94762.38719841288
170,40077.5633941212,-89275.01767562938
171,62200.68608162479,-75972.65216359231
172,77876.77742970557,-83535.676496501
173,54858.16045253319,-93420.2576655602
174,34722.78958614321,-101761.7988108368
175,24907.287781461928,-105218.34514794502
176,31040.356963035883,-100932.75831379442
177,51394.69546582452,-87887.58366051085
178,78673.32274934926,-68309.53513745527
179,105289.15476079803,-47409.312573233474
180,53312.762193246745,-114817.31773901489
181,33108.38084154927,-120637.96953726791
182,18939.79241330146,-123076.12942749196
183,16744.434237349946,-120290.37239186026
184,30594.068341753584,-109918.54042580456
185,57930.93057964998,-90525.43874687632
186,89976.64171501357,-65202.90865225325
187,118625.36787836294,-40432.60223866082
188,30862.274671447274,-140927.0893511409
189,13399.859698523258,-143540.20966355526
190,4018.323135824292,-142158.6099707669
191,7366.4416119740345,-135509.69031946844
192,26761.516166417947,-121215.07608037558
193,59616.89301098614,-97251.12987519077
194,96169.4698352153,-66998.76345796467
195,41685.59842877305,-84991.34976885472
